bloomberg_ticker
EMP/A CN
ONEX CN
WFG CN
IGM CN
SNC CN
SJR/B CN
FTS CN
TA CN
CU CN
X CN
TIH CN
IFP CN
PKI CN
CNQ CN
SU CN
TCL/A CN
BMO CN
CM CN
BNS CN
NA CN
RY CN
TRI CN
TD CN
IVN CN
FFH CN
GWO CN
LB CN
NTR CN
NXE CN
EQX CN
RNW CN
ARE CN
DPM CN
WEED CN
ERF CN
OSK CN
CWB CN
HCG CN
LNR CN
PAAS CN
PSK CN
KXS CN
WPK CN
AT CN
OGI CN
GIB/A CN
MRU CN
CRON CN
SHOP CN
NWC CN
FSV CN
CCO CN
ITP CN
H CN
ZZZ CN
TOY CN
EMA CN
SIL CN
ELD CN
SSRM CN
TXG CN
CIGI CN
CCA CN
RCH CN
BLDP CN
BHC CN
STN CN
VET CN
CIX CN
SJ CN
GOOS CN
MTL CN
REAL CN
YRI CN
JWEL CN
ERO CN
LSPD CN
GFL CN
OTEX CN
IMG CN
TRQ CN
ENGH CN
PBH CN
LIF CN
NPI CN
ATD/B CN
DML CN
MRE CN
RBA CN
SAP CN
SPB CN
BB CN
IPL CN
DSG CN
WTE CN
ARX CN
BDGI CN
BLX CN
KL CN
WPM CN
NGD CN
SEA CN
FM CN
FVI CN
EDR CN
OR CN
HBM CN
LUN CN
SVM CN
FR CN
WPRT CN
WCN CN
GIL CN
CLS CN
AQN CN
AUP CN
ALA CN
CJR/B CN
AGI CN
MFC CN
BYD CN
WDO CN
IAG CN
PPL CN
SLF CN
MAG CN
CPG CN
TFII CN
EIF CN
KEY CN
INE CN
VFF CN
CG CN
IFC CN
TRIL CN
DOO CN
AIF CN
CJT CN
AC CN
QSR CN
EFN CN
NFI CN
CSU CN
SSL CN
FNV CN
BTO CN
SII CN
LAC CN
CPX CN
DOL CN
CVE CN
PXT CN
SIA CN
TCN CN
WCP CN
MEG CN
TOU CN
PVG CN
ATZ CN
GEI CN
WSP CN
MONET CP
KOMB CP
CEZ CP
ALPHA GA
LAMDA GA
BELA GA
OPAP GA
HTO GA
MYTIL GA
TENERGY GA
OTP HB
RICHT HB
MOL HB
PZU PW
CDR PW
TPE PW
JSW PW
PKO PW
CCC PW
OPL PW
ACP PW
MBK PW
MIL PW
SPL PW
KGH PW
PKN PW
LPP PW
PEO PW
EUR PW
EAT PW
ALR PW
LTS PW
PGN PW
LVC PW
DNP PW
CPS PW
ENA PW
TEN PW
PGE PW
LHC SJ
RBP SJ
NPN SJ
NED SJ
NTC SJ
SBK SJ
SPP SJ
LBH SJ
ARL SJ
WHL SJ
DSY SJ
APN SJ
TKG SJ
ABG SJ
SPG SJ
AVI SJ
ARI SJ
MSM SJ
REM SJ
MTN SJ
ANG SJ
SAP SJ
SOL SJ
TBS SJ
MRP SJ
TFG SJ
NHM SJ
BVT SJ
CLS SJ
EXX SJ
PIK SJ
SHP SJ
HAR SJ
CPI SJ
AMS SJ
BAW SJ
TRU SJ
GFI SJ
FSR SJ
TCP SJ
KAP SJ
IPL SJ
JSE SJ
IMP SJ
KIO SJ
BID SJ
DCP SJ
NRP SJ
PPH SJ
VOD SJ
DGH SJ
OMU SJ
MTH SJ
MCG SJ
CCOLA TI
AGHOL TI
KCHOL TI
FROTO TI
ENKAI TI
TCELL TI
AKBNK TI
GARAN TI
BIMAS TI
TOASO TI
ISCTR TI
TSKB TI
YKBNK TI
SISE TI
AEFES TI
TUPRS TI
THYAO TI
OTKAR TI
SAHOL TI
ARCLK TI
AYGAZ TI
EREGL TI
KORDS TI
LOGO TI
TTRAK TI
ULKER TI
YATAS TI
VAKBN TI
SELEC TI
ASELS TI
TAVHL TI
MAVI TI
TTKOM TI
ENJSA TI
MPARK TI
SOKM TI
MGROS TI
KOZAL TI
WIE AV
EVN AV
UQA AV
LNZ AV
VOE AV
OMV AV
VER AV
EBS AV
IIA AV
SPI AV
TKA AV
CAI AV
SBO AV
RBI AV
VIG AV
POST AV
ANDR AV
ATS AV
BG AV
PROX BB
EURN BB
TESB BB
REC BB
BAR BB
BEKB BB
OBEL BB
UMI BB
DIE BB
MELE BB
SOF BB
SOLB BB
KIN BB
UCB BB
ACKB BB
COLR BB
KBC BB
GBLB BB
AGS BB
GLPG NA
ELI BB
TNET BB
BPOST BB
ONTEX BB
MTLS US
MITRA BB
ABI BB
VGP BB
SHUR BB
CHR DC
PNDORA DC
JYSK DC
HH DC
BAVA DC
ROCKB DC
DEMANT DC
VWS DC
MAERSKB DC
BO DC
CARLB DC
GN DC
AMBUB DC
DANSKE DC
GMAB DC
NZYMB DC
RBREW DC
PAALB DC
FLS DC
TOP DC
DFDS DC
SIM DC
NOVOB DC
LUN DC
NKT DC
ALMB DC
COLOB DC
SYDB DC
TRYG DC
MATAS DC
ZEAL DC
ALKB DC
ISS DC
RILBA DC
SPNO DC
ASND US
STG DC
TRMDA DC
DNORD DC
ORSTED DC
DSV DC
NETC DC
DRLCO DC
ELISA FH
NOKIA FH
FORTUM FH
FIA1S FH
KEMIRA FH
